"Name","Average.User.Rating","User.Rating.Count","Price","Developer","Age.Rating","Languages","Size","Primary.Genre","Genres"
"1640","Planet Pipeline",5,7,0,"AppCone, LLC","4+","EN",67879936,"Games","Games, Strategy, Puzzle"
"1641","Pocket Clothier",4.5,158,4.99,"Kairosoft Co.,Ltd","4+","EN, KO, ZH, ZH",189700096,"Games","Games, Strategy, Entertainment, Simulation"
"1642","Crazy Pipes!",3,8,0,"Softopus Garden","4+","EN",18316462,"Games","Games, Puzzle, Strategy"
"1643","Tank Ace Reloaded",4.06090464224309,3306.53127893136,2.99,"RESETgame","9+","EN",5029888,"Games","Games, Action, Strategy, Entertainment"
"1644","\"Devil's Attorney\"",4.5,1984,4.99,"Senri","12+","EN, FR, DE, IT, KO, PL, PT, RU, ES, TR",123125760,"Games","Games, Puzzle, Strategy"
"1645","BubbaGolf Free",4,149,0,"GameMill Entertainment","4+","EN",97434370,"Games","Games, Strategy, Sports"
"1646","Chicken Revolution2 : Zombie",4.5,2439,0,"BLUE GNC","12+","EN, KO",37999687,"Games","Games, Adventure, Strategy"
"1647","Robo-E",4.06090464224309,3306.53127893136,1.99,"MPaja","4+","EN, FI, FR, DE, IT, PT, ES, SV",39432192,"Games","Games, Entertainment, Puzzle, Strategy"
"1648","Heroes and Castles Premium",4.5,4985,1.99,"Foursaken Media","12+","EN",528292864,"Games","Games, Strategy, Entertainment, Action"
"1649","Bouncy Balls",3.5,24,0,"Revolution Games, Inc.","4+","EN",23134550,"Games","Games, Strategy, Sports"
"1650","Bloons TD 5",5,97776,2.99,"Ninja Kiwi","9+","AR, DA, EN, FI, FR, DE, IT, JA, KO, NO, PT, RU, ES, SV, TR",133326848,"Games","Games, Action, Entertainment, Strategy"
"1651","Mu Torere Free",4.06090464224309,3306.53127893136,0,"ACLAP","4+","EN",18321408,"Games","Games, Board, Strategy"
"1652","FactorMan",3.5,11,0,"Thomas Bretl","4+","EN",26612736,"Education","Education, Strategy, Games"
"1653","Fox & Hounds",4.06090464224309,3306.53127893136,0.99,"Michael Heitland","4+","ZH, EN, FR, DE, HI, IT, PT, RU, ES, TR",4896768,"Games","Games, Strategy, Board"
"1654","Defense Zone 2 HD",4,67,2.99,"Artem Kotov","12+","EN",319230976,"Games","Games, Action, Strategy"
"1655","Defense Zone 2 HD Lite",4.5,24,0,"Artem Kotov","12+","EN",276038656,"Games","Games, Strategy, Action"
"1656","Celtic Tribes - Strategy MMO",4,1737,0,"XYRALITY GmbH","4+","AR, DA, NL, EN, FR, DE, EL, ID, IT, JA, KO, MS, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",216788992,"Games","Games, Strategy, Entertainment, Simulation"
"1657","Da Vinci Cannon 2",4.06090464224309,3306.53127893136,0.99,"Dmitry Muraviev","12+","CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR",57520128,"Games","Games, Puzzle, Strategy"
"1658","Brick By Brick Physics Game",2,12,0,"Adam Smith","4+","EN",11911168,"Games","Games, Puzzle, Entertainment, Strategy"
"1659","\u300a\u516d\u5b50\u68cb\u300b",4.06090464224309,3306.53127893136,0,"Support-Sky Team","4+","ZH",30060544,"Games","Games, Strategy, Card, Lifestyle"
"1660","Wer war es? - Das Logik-Puzzle",4.06090464224309,3306.53127893136,0,"Simon Kleine","4+","AR, HY, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, FA, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI",147821568,"Games","Games, Strategy, Puzzle"
"1661","\"Tap 'n' Pop 2\"",4,131,0,"Software River Solutions, Inc","4+","EN",19618816,"Games","Games, Entertainment, Puzzle, Strategy"
"1662","\"Tap 'n' Pop 2 HD\"",3.5,219,0,"Software River Solutions, Inc","4+","EN",30382080,"Games","Games, Strategy, Entertainment, Puzzle"
"1663","Mushroomers",4.5,439,0,"Vigr Games Inc.","4+","EN, DE, PL, RU",119062528,"Games","Games, Strategy, Simulation"
"1664","Bloons TD 5 HD",4.5,42652,2.99,"Ninja Kiwi","9+","AR, DA, EN, FI, FR, DE, IT, JA, KO, NO, PT, RU, ES, SV, TR",264927232,"Games","Games, Entertainment, Action, Strategy"
"1665","Aeon Hero Wars",4,104,0,"Donoma Games","9+","EN",196361171,"Games","Games, Entertainment, Strategy, Action"
"1666","Tap Arcade: Fun Classic Mobile Video Games",3,9,0,"Mediasota, LLC","4+","EN, ES",73358336,"Games","Games, Strategy, Entertainment, Casual"
"1667","Spooky Man : Island Of Ghost to Mystic Diary 3D",4.06090464224309,3306.53127893136,2.99,"Palmacapp","12+","EN",89885696,"Games","Games, Entertainment, Puzzle, Strategy"
"1668","Dots and Boxes Free",2.5,11,0,"ACLAP","4+","EN",17981440,"Games","Games, Board, Strategy"
"1669","Bun Wars Free: Best of fun for Boys Girls and Kids",3.5,50,0,"Eugene Mikhalevskiy","12+","EN",64470016,"Games","Games, Role Playing, Entertainment, Strategy"
"1670","Tri Peaks Ultimate",4,529,0,"Keith Adler Studios LLC","4+","EN",40698880,"Games","Games, Card, Strategy, Entertainment"
"1671","Dominant Species for iPad",3.5,131,6.99,"GMT Games LLC","9+","EN",72065024,"Games","Games, Board, Strategy"
"1672","Street-food Tycoon Chef Fever: Cooking World Sim 2",4.5,1120,0,"AppForge Inc.","4+","EN",64332800,"Games","Games, Entertainment, Strategy, Simulation"
"1673","Conceptis Hashi",5,1826,0,"Conceptis Ltd.","4+","EN, JA, ZH",14721024,"Games","Games, Entertainment, Puzzle, Strategy"
"1674","Clash of Empires",3,20,0,"\u6210\u90fd\u91d1\u662f\u5eb7\u79d1\u6280\u6709\u9650\u516c\u53f8","9+","DA, NL, EN, FI, FR, DE, EL, ID, IT, JA, KO, MS, NB, NN, PT, RU, ZH, ES, TH, ZH, TR, VI",45099008,"Games","Games, Role Playing, Strategy, Entertainment"
"1675","Pinochle Pro Free",3.5,178,0,"Black Panther Software","4+","EN",22139904,"Games","Games, Strategy, Card"
"1676","Pepernoten",4.06090464224309,3306.53127893136,0,"Vincent Hooft","4+","EN",8209797,"Games","Games, Board, Strategy, Entertainment"
"1677","Roads of Rome: 3",3,22,0,"Qumaron","4+","ZH, EN, FR, DE, IT, JA, KO, RU, ES",278315008,"Games","Games, Entertainment, Strategy, Simulation"
"1678","\"Trader's Way\"",4,56,1.99,"Infinite Software","12+","CA, CS, DA, NL, EN, FI, FR, DE, HE, IT, JA, KO, NB, PL, PT, RU, ZH, SK, ES, SV, ZH",43591680,"Games","Games, Strategy, Board"
"1679","Paper Grid",4.06090464224309,3306.53127893136,0,"Neptic","4+","EN",8003584,"Games","Games, Strategy, Board"
"1680","\"Reiner Knizia's Qin\"",4,89,4.99,"DevPocket","4+","ZH, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES",163266560,"Games","Games, Board, Strategy"
"1681","Catan Game Assistant",4.5,211,0,"Mayfair Games","4+","EN, DE",71630848,"Utilities","Utilities, Strategy, Board, Games"
"1682","Catan Game Assistant for iPad",4.5,114,0,"Mayfair Games","4+","EN, DE",190119936,"Utilities","Utilities, Board, Strategy, Games"
"1683","Vampire Season - Monster Defense",4.5,302,0,"BRAINZ SAS","9+","EN",272199680,"Games","Games, Adventure, Strategy, Entertainment"
"1684","War of Nations\u2122 - PVP Strategy",4,14129,0,"PopReach Incorporated","12+","EN",113444864,"Games","Games, Strategy, Entertainment, Action"
"1685","HexLogic - Flowers",4.06090464224309,3306.53127893136,1.99,"GabySoft","4+","EN",33159168,"Games","Games, Puzzle, Entertainment, Strategy"
"1686","HexLogic - Zoo",4.5,221,0,"GabySoft","4+","EN",18255872,"Games","Games, Puzzle, Entertainment, Strategy"
"1687","(Classic) ZooZ",4.06090464224309,3306.53127893136,0.99,"Callet & Vidovic","4+","EN",18357248,"Games","Games, Entertainment, Puzzle, Strategy"
"1688","Magic Alchemist Halloween",4.06090464224309,3306.53127893136,1.99,"erdenkriecher.de","9+","EN",89865216,"Games","Games, Strategy, Entertainment, Puzzle"
"1689","Magic Alchemist Halloween Ed.",4,5,0,"erdenkriecher.de","9+","EN",90954752,"Games","Games, Entertainment, Strategy, Puzzle"
"1690","Christmas Chess",4.06090464224309,3306.53127893136,0,"UAB Target Works","4+","EN, RU",53120000,"Games","Games, Strategy, Board, Entertainment"
"1691","Nanolyte",4.5,18,0,"Nebular Design, LLC","4+","EN",31883264,"Games","Games, Strategy, Entertainment, Puzzle"
"1692","BattleParis",4.06090464224309,3306.53127893136,0,"Pixcook","4+","EN, FR",41425920,"Games","Games, Board, Strategy, Travel"
"1693","SUDOKU MIX",4.06090464224309,3306.53127893136,0,"carl nohre","4+","EN",6408192,"Games","Games, Strategy, Puzzle"
"1694","Myth Defense HD: LF lite",4,26,0,"Smartpix Games","9+","EN, FR, DE, JA, RU, ES",43254784,"Games","Games, Strategy, Action"
"1695","\"It's Tanks!\"",3.5,27,0,"Bit By Bit Games Ltd","9+","EN",55459840,"Games","Games, Casual, Strategy"
"1696","SOL -Strife of lights-",4.06090464224309,3306.53127893136,0,"Peromasamune","4+","EN, JA",6693888,"Games","Games, Puzzle, Strategy"
"1697","TinyLegends\u2122 Heroes",3.5,627,0,"Triniti Interactive Limited","12+","EN",351291392,"Games","Games, Strategy, Role Playing, Entertainment"
"1698","Desert Stormfront (RTS)",4,21,4.99,"Noble Master LLC","9+","EN",92723200,"Games","Games, Strategy, Simulation"
"1699","Numbler",4.5,184,0.99,"Brainingcamp, LLC","4+","EN",5379072,"Education","Education, Strategy, Games"
"1700","Tap Me Silly",4,172,0,"Geeky Lemon Development Limited","4+","EN",19812352,"Entertainment","Entertainment, Casual, Games, Strategy"
"1701","Checkers: Russian Rules",3.5,23,0.99,"Gwinno Software, Inc.","4+","RU",27381760,"Games","Games, Strategy, Board"
"1702","Train Empire",4,59,1.99,"Playtend Apps LLP","4+","EN",34422784,"Games","Games, Strategy, Education"
"1703","Fantashooting HD",4.5,51,3.99,"Crazy Carpenter","9+","EN",176390144,"Games","Games, Entertainment, Action, Strategy"
"1704","Battleground - The Election Game (FREE)",3.5,327,0,"SecretBuilders","4+","EN",39685120,"Games","Games, Entertainment, Strategy"
"1705","High School Fighter - Best Action Fighting Game",4,113,0,"Tapps Tecnologia da Informa\xe7\xe3o Ltda.","12+","EN",58396672,"Games","Games, Entertainment, Strategy, Casual"
"1706","Solitaire Bliss",4,493,0,"joseph pinkasfeld","4+","DA, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES, SV",30071808,"Games","Games, Strategy, Card, Entertainment"
"1707","FlipPix Art - Shops",4.06090464224309,3306.53127893136,1.99,"GabySoft","4+","EN",57932800,"Games","Games, Entertainment, Puzzle, Strategy"
"1708","99 Gummy Bears, Squishy Match 3",4,124,0,"Snow Storm Software","4+","EN",25623552,"Games","Games, Entertainment, Strategy, Family"
"1709","Go - Game",4.06090464224309,3306.53127893136,1.99,"Huafang liu","4+","EN, ZH, ZH",16526336,"Games","Games, Entertainment, Strategy, Board"
"1710","RAVENMARK: SOE [Episodic]",4.5,76,0,"Witching Hour Studios","12+","EN",957837312,"Games","Games, Role Playing, Strategy"
"1711","Strategy & Tactics World War 2",4,1188,0,"HeroCraft Ltd.","12+","EN, FR, DE, RU, ES",146696192,"Games","Games, Strategy, Entertainment, Board"
"1712","Hex Twist",4,9,0,"Anthony Kitowicz","4+","EN",1311744,"Games","Games, Strategy, Puzzle, Entertainment"
"1713","Bun Wars: Best of fun for Boys Girls and Kids",4,19,0.99,"Eugene Mikhalevskiy","12+","EN",131990528,"Games","Games, Strategy, Entertainment, Role Playing"
"1714","Battle Panic",4,1245,0,"Ninja Kiwi","9+","EN",341180416,"Games","Games, Action, Entertainment, Strategy"
"1715","Northern Tale HD",4,140,0,"Qumaron","4+","EN, RU",309127168,"Games","Games, Entertainment, Simulation, Strategy"
"1716","Nameless: the Hackers RPG",4.5,1997,7.99,"BoxCat LLC","9+","EN",96985088,"Games","Games, Role Playing, Strategy"
"1717","Traffic City USA",4.5,446,0,"Rahul Biswas","4+","EN",38862848,"Games","Games, Navigation, Strategy, Role Playing"
"1718","Wind Up Maze",4.06090464224309,3306.53127893136,0.99,"Dallas Prichard","4+","EN",31816704,"Games","Games, Puzzle, Strategy, Entertainment"
"1719","Tropical Stormfront (RTS)",4.5,39,3.99,"Noble Master LLC","9+","EN",91408384,"Games","Games, Strategy, Simulation"
"1720","Bricks of Rome",2,5,0.99,"DAMIANOS CHRISTODOULOU","4+","EN",359040000,"Games","Games, Strategy, Entertainment, Puzzle"
"1721","Partia",4.5,220,3.99,"Imago Software","9+","EN",51549184,"Games","Games, Role Playing, Strategy, Entertainment"
"1722","Word Grab\u2122",3.5,46,0,"Mega Space, Inc.","4+","EN",45840384,"Games","Games, Word, Entertainment, Strategy"
"1723","Dinosaur War: Happy Easter!",3.5,289,0,"DROIDHEN LIMITED","4+","EN, KO",38612120,"Games","Games, Simulation, Strategy"
"1724","Battleground - The Election Game",4,89,0.99,"SecretBuilders","4+","EN",39685120,"Games","Games, Entertainment, Strategy"
"1725","Colonies 2 - Kingdoms at war",4.5,8,0,"Evolve Networks","4+","EN",46948352,"Games","Games, Strategy, Entertainment, Action"
"1726","Bubble breaker classic - HaFun",4,164,0,"Scott Chen","4+","EN",41228288,"Games","Games, Strategy, Puzzle, Entertainment"
"1727","\"Guns'n'Glory Heroes\"",4.5,323,0,"HandyGames","9+","NL, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, SV, ZH, TR",44706816,"Games","Games, Strategy, Entertainment, Role Playing"
"1728","Heal Them All",4.5,48,0,"Shortbreak Studios","9+","EN",168767488,"Games","Games, Health & Fitness, Strategy"
"1729","APP Control HD",4,60,0,"APPcalyptus UG","4+","EN",1205248,"Games","Games, Simulation, Strategy"
"1730","Epic Cards Battle (TCG)",4.5,4792,0,"Wan Peng","12+","EN",166637568,"Games","Games, Card, Strategy, Entertainment"
"1731","Hotel Escape 1",2.5,8,0,"Leeway Infotech Private Ltd.","4+","EN",12782921,"Games","Games, Entertainment, Puzzle, Strategy"
"1732","Mortimer Beckett and the Crimson Thief LITE",3,14,0,"GameHouse","12+","EN",1233702212,"Games","Games, Strategy, Puzzle, Entertainment"
"1733","Mortimer Beckett and the Time Paradox for iPad LITE",2.5,18,0,"GameHouse","4+","NL, EN, FR, DE, IT, PT, ES, SV",204833259,"Games","Games, Strategy, Entertainment, Puzzle"
"1734","Mortimer Beckett and the Secrets of Spooky Manor for iPad LITE",3,17,0,"GameHouse","4+","NL, EN, FR, DE, IT, PT, ES, SV",103730291,"Games","Games, Strategy, Puzzle, Entertainment"
"1735","Letter Helper - Free Cheats For Letterpress",3,26,0,"Tapular","4+","EN",1769706,"Games","Games, Word, Strategy, Entertainment"
"1736","Battle for Wesnoth",4.5,326,3.99,"Wesnoth, Inc","4+","EN",435745792,"Games","Games, Role Playing, Strategy"
"1737","I Am Vegend: Zombiegeddon FREE",4.5,326,0,"SMS Services O.o.o.","9+","EN",217735168,"Games","Games, Casual, Strategy, Entertainment"
"1738","Jane\u2019s Hotel 3: Hotel Mania",3,42,0,"Qumaron","4+","EN",473409536,"Games","Games, Strategy, Simulation"
"1739","Infect Them All 2 : Zombies",5,2740,0.99,"Magic Cube","12+","EN, KO",53367808,"Games","Games, Role Playing, Entertainment, Strategy"
"1740","Tank Battle: North Africa",4.5,424,2.99,"Hunted Cow Studios Ltd.","12+","EN",237217792,"Games","Games, Simulation, Entertainment, Strategy"
"1741","Backgammon Board Games - BA.net",4.06090464224309,3306.53127893136,0,"Jaime Garcia Ghirelli","4+","EN",41017344,"Games","Games, Education, Board, Strategy"
"1742","Lords & Knights - X-Mas",4.5,255,0,"XYRALITY GmbH","4+","AR, DA, NL, EN, FR, DE, EL, ID, IT, JA, KO, MS, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",362938368,"Games","Games, Entertainment, Simulation, Strategy"
"1743","Battle for Wesnoth HD",4.5,499,3.99,"Wesnoth, Inc","4+","EN",637505536,"Games","Games, Strategy, Role Playing"
"1744","Front Defense",4,42,0,"Ginny Wang","9+","CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR",22295117,"Games","Games, Strategy, Action"
"1745","Marble Math Multiplication",4.5,347,0,"Artgig Studio","4+","EN",81717248,"Education","Education, Games, Strategy"
"1746","Seeds Lite For Minecraft - Server, Skin, Community",4,14501,0,"JN Interactive AB","9+","EN",29254656,"Games","Games, Strategy, Adventure, Utilities"
"1747","Tactics",2.5,27,0,"ChessBase GmbH","4+","EN",9277440,"Games","Games, Board, Strategy, Education"
"1748","EMERGENCY Mobile",4.5,415,0,"Promotion Software GmbH","12+","EN, FR, DE, JA, PL, ES",798922752,"Games","Games, Entertainment, Simulation, Strategy"
"1749","Ingress Prime",3,4334,0,"Niantic, Inc.","9+","CS, NL, EN, FR, DE, IT, JA, KO, NO, PT, RU, ZH, ES, SV, ZH",231161856,"Games","Games, Entertainment, Adventure, Strategy"
"1750","World of Kingdoms",4,23,0,"Nurogames","4+","EN, FR, DE, PT, RU, ES",52122624,"Games","Games, Strategy, Entertainment, Role Playing"
"1751","Lynnsee PopBirds",4,48,0,"Lei Zeng","4+","EN, ZH, ZH",16009216,"Games","Games, Entertainment, Board, Strategy"
"1752","Breakfast Swipe",4,31,0,"mekalabo, Inc.","4+","CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR",18116485,"Games","Games, Puzzle, Strategy, Entertainment"
"1753","Vampire War - HD",3,24,0,"iFree Studio Limited","9+","EN, DE, JA, KO, PT, RU, ZH, ZH",87117824,"Games","Games, Strategy, Entertainment, Role Playing"
"1754","Majesty: Northern Expansion",4,108,2.99,"HeroCraft Ltd.","9+","EN, FR, DE, IT, PL, PT, RU, ES",202863616,"Games","Games, Entertainment, Strategy, Action"
"1755","Kingdom of Zenia: Dragon Wars",4,4674,0,"Kooapps","9+","EN, FR, DE, JA, ZH, ES",138349568,"Games","Games, Strategy, Role Playing, Entertainment"
"1756","\"Teemo's Jungle Timer for League of Legends\"",4,13,0,"POP POP LLC","4+","EN",6361088,"Games","Games, Role Playing, Reference, Strategy"
"1757","HedgeHogers",4.06090464224309,3306.53127893136,0.99,"\"Shane O'Reilly\"","4+","EN",183092224,"Games","Games, Strategy, Family, Entertainment"
"1758","Tic Tac Toe (1bsyl)",3.5,8,0,"Sylvain Becker","4+","AF, SQ, AM, AR, HY, AZ, EU, BE, BN, BG, MY, KM, CA, ZH, HR, CS, DA, NL, EN, ET, FI, FR, GL, KA, DE, EL, HE, HI, HU, IS, ID, IT, JA, KN, KO, LO, LV, LT, MK, MS, ML, MR, MN, NE, NO, FA, PL, PT, RO, RU, SR, SI, SK, SL, ES, SW, SV, TL, TA, TE, TH, TR, UK, VI, ZU",17064960,"Games","Games, Puzzle, Strategy"
"1759","4 in a line",4.06090464224309,3306.53127893136,0,"Sylvain Becker","4+","AF, SQ, AM, AR, HY, AZ, EU, BE, BN, BG, MY, KM, CA, ZH, HR, CS, DA, NL, EN, ET, FI, FR, GL, KA, DE, EL, HE, HI, HU, IS, ID, IT, JA, KN, KO, LO, LV, LT, MK, MS, ML, MR, MN, NE, NO, FA, PL, PT, RO, RU, SR, SI, SK, SL, ES, SW, SV, TL, TA, TE, TH, TR, UK, VI, ZU",16819200,"Games","Games, Strategy, Puzzle"
"1760","APOC-X",4.5,20,1.99,"Gabor Szigeti","17+","EN",98017280,"Games","Games, Entertainment, Action, Strategy"
"1761","Gioco del lotto",4.06090464224309,3306.53127893136,0,"CRT Technology","4+","EN",8440832,"Entertainment","Entertainment, Strategy, Games, Simulation"
"1762","Bubble Crackle",4.5,103,0.99,"Christopher Legare Roussel","4+","EN, FR, DE, IT, PT, ES",38629376,"Games","Games, Board, Entertainment, Strategy"
"1763","Survivor Z",4,829,0,"Mongadillo Studios Inc.","12+","EN",57778176,"Games","Games, Role Playing, Entertainment, Strategy"
"1764","Aaiy Yoww Gold",4.06090464224309,3306.53127893136,0,"Deeper Arts, Inc.","9+","EN",47384934,"Games","Games, Strategy, Entertainment, Casual"
"1765","Hotel Story: Resort Simulation",4.5,27676,0,"Happy Labs Pte Ltd","4+","EN, JA, ZH, ZH",37891072,"Games","Games, Simulation, Strategy, Entertainment"
"1766","Luma Link",4.5,64,0,"Eastedge Studios, LLC","4+","EN",112996352,"Games","Games, Strategy, Puzzle, Entertainment"
"1767","Fish Farm 2",4.5,4224,0,"bitbros Inc.","4+","EN, DE",58114048,"Games","Games, Simulation, Entertainment, Strategy"
"1768","Pirates! Showdown",4.5,84,2.99,"Flashpoint Games","12+","EN",113933312,"Games","Games, Action, Strategy, Entertainment"
"1769","Epic Mech Wars",4,35,0,"Tiny Utopia","12+","EN",90832896,"Games","Games, Role Playing, Entertainment, Strategy"
"1770","Magic Craft: The Hero of Fantasy Kingdom Free",4,45,0,"BIG WOOD GAMES LIMITED","4+","EN, ZH",49733632,"Games","Games, Strategy, Lifestyle, Trivia"
"1771","Checkers for iPad",3.5,16,0,"Presselite","4+","EN, FR",25329664,"Games","Games, Board, Education, Strategy"
"1772","99 Gumballs, Candy Smash Match 3",4,96,0,"Snow Storm Software","4+","EN",21822464,"Games","Games, Entertainment, Strategy, Family"
"1773","Build Rail",3,5,0,"LIN CHENG SHAN","4+","CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR",14934016,"Games","Games, Puzzle, Strategy"
"1774","India Pop",4.06090464224309,3306.53127893136,0,"TTCX Inc.","4+","CS, DA, NL, EN, FI, FR, DE, EL, HE, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",52285440,"Education","Education, Games, Strategy"
"1775","Wild City",3.5,292,0,"Anansi","12+","EN, DE, PT, RU, ES, TR",147831808,"Games","Games, Role Playing, Strategy, Lifestyle"
"1776","\"Cato's Hike Lite\"",4,42,0,"Hesham Wahba","4+","EN",43132928,"Education","Education, Strategy, Games"
"1777","51-\u6d69\u5929\u5947\u7f18",4.06090464224309,3306.53127893136,0,"Shengdong Network Technology Development (Shanghai) Co Ltd","9+","ZH",73097216,"Games","Games, Strategy, Role Playing"
"1778","Megapolis: Building Strategy",4.5,34376,0,"Social Quantum","4+","ZH, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, TR",201606144,"Games","Games, Entertainment, Simulation, Strategy"
"1779","Burger Diner HD",4.06090464224309,3306.53127893136,0,"iTopGame3","4+","EN, ZH",15326041,"Games","Games, Simulation, Entertainment, Strategy"
"1780","\"Trader's Way Lite\"",4.06090464224309,3306.53127893136,0,"Infinite Software","17+","CA, CS, DA, NL, EN, FI, FR, DE, HE, IT, JA, KO, NB, PL, PT, RU, ZH, SK, ES, SV, ZH",43247616,"Games","Games, Board, Strategy"
"1781","Nanomites",4.5,22,0.99,"3D Avenue","4+","EN",229386240,"Games","Games, Strategy, Casual"
"1782","Tree Fortress - Defense of the Castle",4.5,163,0,"Tapps Tecnologia da Informa\xe7\xe3o Ltda.","9+","EN",53084160,"Games","Games, Action, Entertainment, Strategy"
"1783","Gingerbread VS. Snowmen",4,23,0,"Burletech","9+","EN",45867071,"Games","Games, Action, Strategy"
"1784","Backgammon with 16 Games",4,130,0,"Boyan Paskalev","4+","AR, BG, EN, FR, DE, EL, IT, PT, RO, RU, ES, TR, UK",34576384,"Games","Games, Strategy, Board, Entertainment"
"1785","Atlantis Oceans HD Free Scuba Diving Shark Dolphin Fish Whale",4.5,955,0,"Sunrise Software","9+","EN",222109696,"Games","Games, Strategy, Sports, Adventure"
"1786","Honey Bees Great Escape - Best Super Fun Free Puzzle Game",4.5,33,0,"Loretta Cheron","4+","EN",45539328,"Games","Games, Strategy, Education, Puzzle"
"1787","Mayas & Aliens",4,17,0,"Nurogames","4+","EN",94515200,"Games","Games, Role Playing, Strategy, Entertainment"
"1788","APOC-X Free",4.06090464224309,3306.53127893136,0,"Gabor Szigeti","12+","EN",51400704,"Games","Games, Action, Entertainment, Strategy"
"1789","Codebreaker",4.06090464224309,3306.53127893136,0,"Microlink Corp.","12+","EN, JA",5746688,"Games","Games, Strategy, Puzzle"
"1790","Conceptis Nurikabe",5,312,0,"Conceptis Ltd.","4+","EN, JA, ZH",13846528,"Games","Games, Strategy, Entertainment, Puzzle"
"1791","Melon Truck 2.0",4.06090464224309,3306.53127893136,0,"Batuhan Akalin","4+","EN",7556454,"Games","Games, Entertainment, Puzzle, Strategy"
"1792","Cook, Serve, Delicious!",5,1088,4.99,"David Galindo","12+","EN",100617216,"Games","Games, Simulation, Strategy"
"1793","GangMan Mafia Clash - Best Super Fun Shooter Game",4,45,0,"Loretta Cheron","9+","EN",35483648,"Games","Games, Entertainment, Music, Strategy"
"1794","Iron Krieger",4.06090464224309,3306.53127893136,2.99,"Ratto Software","12+","EN",370555904,"Games","Games, Strategy, Action, Entertainment"
"1795","QQ\u738b\u8005\u6218\u7eaa",4.5,143,0,"Tencent Mobile Games","9+","EN",60194816,"Games","Games, Strategy, Entertainment, Role Playing"
"1796","Hacker Online RPG",3.5,329,0,"Gennaro Coda","12+","EN",11621376,"Games","Games, Role Playing, Social Networking, Strategy"
"1797","Fighter 3D - Air combat game",3.5,52,1.99,"Luis Evaristo Rodriguez Campos","12+","NL, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, SV, ZH",129752064,"Games","Games, Strategy, Simulation"
"1798","Hack Attack",4.06090464224309,3306.53127893136,0,"Elite Games Ltd","4+","EN",7349200,"Games","Games, Strategy, Entertainment, Puzzle"
"1799","One Line Match3",3.5,5,0,"Noriyuki Morimoto","4+","EN",3911680,"Games","Games, Entertainment, Strategy, Board"
"1800","Pretty Pet Toy Store",4,54,0,"Pretty Pet Company","4+","EN",37716597,"Games","Games, Family, Entertainment, Strategy"
"1801","Abalone\xae",4.5,85,3.99,"Asmodee Digital","4+","NL, EN, FR, DE, IT, PT, ES",51515392,"Games","Games, Entertainment, Board, Strategy"
"1802","Trump It Classic Cars",4.06090464224309,3306.53127893136,0.99,"Added Entertainment Ltd","4+","EN",65693696,"Entertainment","Entertainment, Card, Games, Strategy"
"1803","ChessVisionDrills",4.5,14,1.99,"Michael anderson","4+","EN",6778880,"Games","Games, Strategy, Board"
"1804","Crazy School 2 HD Free",4,37,0,"Philippe Alaux","4+","EN, FR, ES",20799488,"Games","Games, Puzzle, Education, Strategy"
"1805","The Towers of Hanoi",4.06090464224309,3306.53127893136,0.99,"Nicolas Schwarz","4+","EN, DE",15696896,"Games","Games, Puzzle, Strategy, Entertainment"
"1806","Help Mama Duck - FREE",4.06090464224309,3306.53127893136,0,"mobDB, LLC.","4+","EN",112760492,"Games","Games, Entertainment, Trivia, Strategy"
"1807","Tower Raiders 3",4.5,165,0,"Gianormous Games, LLC","12+","EN",113972145,"Games","Games, Strategy, Action"
"1808","Brick City: Tank Warfare",4.5,184,0,"Onion Knights","9+","EN",23254016,"Games","Games, Entertainment, Adventure, Strategy"
"1809","Warbits",4.5,1292,4.99,"Risky Lab Inc","9+","EN",185147392,"Games","Games, Strategy, Adventure"
"1810","Street Food Carts",3,14,0,"Suave Solutions","4+","EN",111714304,"Games","Games, Simulation, Entertainment, Strategy"
"1811","Empire Four Kingdoms",4,20566,0,"Goodgame Studios","12+","CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR",224147456,"Games","Games, Simulation, Strategy, Entertainment"
"1812","Sidius Nova",4.5,109,0,"Stefan Schmitt","9+","EN",199023616,"Games","Games, Strategy, Action"
"1813","Engineer : Weapons",3,19,0,"Mohd Hazlan Shamsir","17+","EN",6419788,"Games","Games, Puzzle, Strategy"
